,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP,417.78,AGAST+SIFT
1,MAP,374.61,AGAST+SIFT
2,MAP,389.56,AGAST+SIFT
3,MAP,356.92,AGAST+SIFT
4,MAP,345.67,AGAST+SIFT
5,MAP,335.46,AGAST+SIFT
6,MAP,309.58,AGAST+SIFT
7,MAP,274.82,AGAST+SIFT
8,MAP,278.38,AGAST+SIFT
9,MAP,250.79,AGAST+SIFT
10,MAP,260.29,AGAST+SIFT
11,MAP,260.93,AGAST+SIFT
12,MAP,274.15,AGAST+SIFT
13,MAP,252.11,AGAST+SIFT
14,MAP,297.98,AGAST+SIFT
15,MAP,308.1,AGAST+SIFT
16,MAP,309.9,AGAST+SIFT
17,MAP,247.85,AGAST+SIFT
18,MAP,244.27,AGAST+SIFT
19,MAP,266.82,AGAST+SIFT
20,MAP,244.61,AGAST+SIFT
21,MAP,246.93,AGAST+SIFT
22,MAP,286.65,AGAST+SIFT
23,MAP,292.33,AGAST+SIFT
24,MAP,319.99,AGAST+SIFT
25,MAP,357.06,AGAST+SIFT
26,MAP,360.18,AGAST+SIFT
27,MAP,375.55,AGAST+SIFT
28,MAP,417.92,AGAST+SIFT
29,MAP,386.38,AGAST+SIFT
30,MAP,501.63,AGAST+SIFT
31,MAP,517.71,AGAST+SIFT
32,MAP,455.71,AGAST+SIFT
33,MAP,433.06,AGAST+SIFT
34,MAP,405.98,AGAST+SIFT
35,MAP,375.85,AGAST+SIFT
36,MAP,364.57,AGAST+SIFT
37,MAP,356.52,AGAST+SIFT
38,MAP,374.92,AGAST+SIFT
39,MAP,348.43,AGAST+SIFT
40,MAP,342.49,AGAST+SIFT
41,MAP,415.85,AGAST+SIFT
42,MAP,376.56,AGAST+SIFT
43,MAP,374.03,AGAST+SIFT
44,MAP,279.3,AGAST+SIFT
45,MAP,320.92,AGAST+SIFT
46,MAP,331.09,AGAST+SIFT
47,MAP,362.62,AGAST+SIFT
48,MAP,433.94,AGAST+SIFT
49,MAP,388.34,AGAST+SIFT
50,MAP,371.91,AGAST+SIFT
51,MAP,423.18,AGAST+SIFT
52,MAP,462.23,AGAST+SIFT
53,MAP,528.57,AGAST+SIFT
54,MAP,537.67,AGAST+SIFT
55,MAP,666.66,AGAST+SIFT
56,MAP,652.41,AGAST+SIFT
57,MAP,634.56,AGAST+SIFT
58,MAP,598.34,AGAST+SIFT
59,MAP,586.07,AGAST+SIFT
60,MAP,562.53,AGAST+SIFT
61,MAP,569.23,AGAST+SIFT
62,MAP,502.93,AGAST+SIFT
63,MAP,482.39,AGAST+SIFT
64,MAP,399.02,AGAST+SIFT
65,MAP,450.2,AGAST+SIFT
66,MAP,409.91,AGAST+SIFT
67,MAP,374.41,AGAST+SIFT
68,MAP,353.35,AGAST+SIFT
69,MAP,324.14,AGAST+SIFT
70,MAP,322.74,AGAST+SIFT
71,MAP,278.48,AGAST+SIFT
72,MAP,258.71,AGAST+SIFT
73,MAP,237.58,AGAST+SIFT
74,MAP,240.4,AGAST+SIFT
75,MAP,227.57,AGAST+SIFT
76,MAP,229.87,AGAST+SIFT
77,MAP,238.51,AGAST+SIFT
78,MAP,205.84,AGAST+SIFT
79,MAP,222.6,AGAST+SIFT
80,MAP,232.05,AGAST+SIFT
