,Dataset,Number of Keypoints,Detector/Descriptor
81,MAP,262.95,AGAST+SIFT
82,MAP,214.8,AGAST+SIFT
83,MAP,207.28,AGAST+SIFT
84,MAP,209.84,AGAST+SIFT
85,MAP,211.87,AGAST+SIFT
86,MAP,227.1,AGAST+SIFT
87,MAP,236.85,AGAST+SIFT
88,MAP,264.83,AGAST+SIFT
89,MAP,298.48,AGAST+SIFT
90,MAP,315.39,AGAST+SIFT
91,MAP,349.6,AGAST+SIFT
92,MAP,364.04,AGAST+SIFT
93,MAP,343.56,AGAST+SIFT
94,MAP,389.95,AGAST+SIFT
95,MAP,418.78,AGAST+SIFT
96,MAP,472.36,AGAST+SIFT
97,MAP,534.2,AGAST+SIFT
98,MAP,554.46,AGAST+SIFT
99,MAP,682.96,AGAST+SIFT
100,MAP,456.71,AKAZE
101,MAP,452.72,AKAZE
102,MAP,447.74,AKAZE
103,MAP,440.32,AKAZE
104,MAP,426.08,AKAZE
105,MAP,415.06,AKAZE
106,MAP,381.13,AKAZE
107,MAP,368.51,AKAZE
108,MAP,357.74,AKAZE
109,MAP,351.76,AKAZE
110,MAP,360.07,AKAZE
111,MAP,364.87,AKAZE
112,MAP,366.96,AKAZE
113,MAP,343.72,AKAZE
114,MAP,336.2,AKAZE
115,MAP,348.42,AKAZE
116,MAP,348.09,AKAZE
117,MAP,347.43,AKAZE
118,MAP,348.09,AKAZE
119,MAP,353.22,AKAZE
120,MAP,357.83,AKAZE
121,MAP,363.02,AKAZE
122,MAP,382.74,AKAZE
123,MAP,393.41,AKAZE
124,MAP,410.1,AKAZE
125,MAP,422.99,AKAZE
126,MAP,438.52,AKAZE
127,MAP,446.06,AKAZE
128,MAP,448.91,AKAZE
129,MAP,448.81,AKAZE
130,MAP,455.23,AKAZE
131,MAP,468.5,AKAZE
132,MAP,462.16,AKAZE
133,MAP,454.39,AKAZE
134,MAP,445.7,AKAZE
135,MAP,439.98,AKAZE
136,MAP,430.05,AKAZE
137,MAP,430.27,AKAZE
138,MAP,426.47,AKAZE
139,MAP,410.57,AKAZE
140,MAP,387.13,AKAZE
141,MAP,384.81,AKAZE
142,MAP,351.56,AKAZE
143,MAP,349.68,AKAZE
144,MAP,357.79,AKAZE
145,MAP,379.15,AKAZE
146,MAP,404.37,AKAZE
147,MAP,431.51,AKAZE
148,MAP,439.25,AKAZE
149,MAP,393.27,AKAZE
150,MAP,371.96,AKAZE
151,MAP,477.9,AKAZE
152,MAP,494.72,AKAZE
153,MAP,509.74,AKAZE
154,MAP,538.09,AKAZE
155,MAP,554.76,AKAZE
156,MAP,539.27,AKAZE
157,MAP,566.55,AKAZE
158,MAP,560.44,AKAZE
159,MAP,548.04,AKAZE
160,MAP,538.09,AKAZE
161,MAP,537.58,AKAZE
162,MAP,520.53,AKAZE
163,MAP,509.6,AKAZE
164,MAP,498.42,AKAZE
165,MAP,479.51,AKAZE
166,MAP,460.81,AKAZE
167,MAP,446.39,AKAZE
168,MAP,424.38,AKAZE
169,MAP,405.3,AKAZE
170,MAP,399.81,AKAZE
171,MAP,377.65,AKAZE
172,MAP,362.98,AKAZE
173,MAP,353.38,AKAZE
174,MAP,354.24,AKAZE
175,MAP,350.64,AKAZE
176,MAP,350.6,AKAZE
177,MAP,345.84,AKAZE
178,MAP,324.61,AKAZE
179,MAP,308.44,AKAZE
180,MAP,303.43,AKAZE
181,MAP,325.92,AKAZE
182,MAP,330.15,AKAZE
183,MAP,346.71,AKAZE
184,MAP,360.6,AKAZE
185,MAP,360.4,AKAZE
186,MAP,360.02,AKAZE
187,MAP,362.12,AKAZE
188,MAP,375.67,AKAZE
189,MAP,385.99,AKAZE
190,MAP,400.06,AKAZE
191,MAP,428.06,AKAZE
192,MAP,442.06,AKAZE
193,MAP,444.23,AKAZE
194,MAP,450.79,AKAZE
195,MAP,474.25,AKAZE
196,MAP,501.6,AKAZE
197,MAP,540.26,AKAZE
198,MAP,562.14,AKAZE
199,MAP,592.95,AKAZE
200,MAP,836.17,BRISK
201,MAP,773.84,BRISK
202,MAP,792.21,BRISK
203,MAP,739.44,BRISK
204,MAP,710.61,BRISK
205,MAP,683.14,BRISK
206,MAP,633.09,BRISK
207,MAP,571.07,BRISK
208,MAP,571.9,BRISK
209,MAP,529.1,BRISK
210,MAP,544.37,BRISK
211,MAP,546.69,BRISK
212,MAP,564.14,BRISK
213,MAP,521.21,BRISK
214,MAP,584.42,BRISK
215,MAP,611.91,BRISK
216,MAP,614.91,BRISK
217,MAP,516.62,BRISK
218,MAP,520.35,BRISK
219,MAP,562.36,BRISK
220,MAP,521.89,BRISK
221,MAP,527.01,BRISK
222,MAP,598.76,BRISK
223,MAP,611.72,BRISK
224,MAP,663.92,BRISK
225,MAP,727.8,BRISK
226,MAP,743.89,BRISK
227,MAP,767.64,BRISK
228,MAP,835.09,BRISK
229,MAP,785.12,BRISK
230,MAP,958.41,BRISK
231,MAP,978.98,BRISK
232,MAP,878.38,BRISK
233,MAP,831.15,BRISK
234,MAP,783.67,BRISK
235,MAP,732.79,BRISK
236,MAP,715.92,BRISK
237,MAP,708.85,BRISK
238,MAP,729.27,BRISK
239,MAP,691.63,BRISK
240,MAP,668.08,BRISK
241,MAP,789.06,BRISK
242,MAP,716.99,BRISK
243,MAP,714.67,BRISK
244,MAP,568.48,BRISK
245,MAP,638.8,BRISK
246,MAP,649.91,BRISK
247,MAP,701.34,BRISK
248,MAP,814.98,BRISK
249,MAP,730.62,BRISK
250,MAP,692.52,BRISK
251,MAP,846.37,BRISK
252,MAP,908.11,BRISK
253,MAP,1001.02,BRISK
254,MAP,1021.04,BRISK
255,MAP,1208.04,BRISK
256,MAP,1160.85,BRISK
257,MAP,1155.02,BRISK
258,MAP,1105.26,BRISK
259,MAP,1088.12,BRISK
260,MAP,1055.0,BRISK
261,MAP,1072.48,BRISK
262,MAP,967.96,BRISK
263,MAP,942.62,BRISK
264,MAP,816.55,BRISK
265,MAP,888.4,BRISK
266,MAP,813.1,BRISK
267,MAP,758.16,BRISK
268,MAP,712.8,BRISK
269,MAP,664.76,BRISK
270,MAP,664.16,BRISK
271,MAP,581.22,BRISK
272,MAP,548.39,BRISK
273,MAP,512.04,BRISK
274,MAP,507.09,BRISK
275,MAP,485.55,BRISK
276,MAP,489.79,BRISK
277,MAP,502.21,BRISK
278,MAP,431.41,BRISK
279,MAP,454.47,BRISK
280,MAP,474.2,BRISK
281,MAP,526.17,BRISK
282,MAP,449.03,BRISK
283,MAP,446.62,BRISK
284,MAP,457.87,BRISK
285,MAP,461.23,BRISK
286,MAP,480.17,BRISK
287,MAP,500.98,BRISK
288,MAP,555.99,BRISK
289,MAP,618.34,BRISK
290,MAP,649.39,BRISK
291,MAP,709.7,BRISK
292,MAP,731.41,BRISK
293,MAP,711.56,BRISK
294,MAP,776.33,BRISK
295,MAP,827.96,BRISK
296,MAP,913.68,BRISK
297,MAP,1011.92,BRISK
298,MAP,1051.58,BRISK
299,MAP,1236.25,BRISK
300,MAP,804.93,BRISK+FREAK
301,MAP,744.0,BRISK+FREAK
302,MAP,762.87,BRISK+FREAK
303,MAP,710.96,BRISK+FREAK
304,MAP,685.56,BRISK+FREAK
305,MAP,659.38,BRISK+FREAK
306,MAP,611.41,BRISK+FREAK
307,MAP,550.69,BRISK+FREAK
308,MAP,551.4,BRISK+FREAK
309,MAP,510.64,BRISK+FREAK
310,MAP,524.5,BRISK+FREAK
311,MAP,526.19,BRISK+FREAK
312,MAP,544.22,BRISK+FREAK
313,MAP,504.39,BRISK+FREAK
314,MAP,562.22,BRISK+FREAK
315,MAP,591.47,BRISK+FREAK
316,MAP,595.07,BRISK+FREAK
317,MAP,496.95,BRISK+FREAK
318,MAP,503.59,BRISK+FREAK
319,MAP,542.04,BRISK+FREAK
320,MAP,501.29,BRISK+FREAK
321,MAP,508.21,BRISK+FREAK
322,MAP,576.35,BRISK+FREAK
323,MAP,588.29,BRISK+FREAK
324,MAP,636.09,BRISK+FREAK
325,MAP,700.03,BRISK+FREAK
326,MAP,714.59,BRISK+FREAK
327,MAP,734.38,BRISK+FREAK
328,MAP,801.52,BRISK+FREAK
329,MAP,755.12,BRISK+FREAK
330,MAP,921.27,BRISK+FREAK
331,MAP,946.58,BRISK+FREAK
332,MAP,848.77,BRISK+FREAK
333,MAP,800.87,BRISK+FREAK
334,MAP,755.35,BRISK+FREAK
335,MAP,706.97,BRISK+FREAK
336,MAP,692.51,BRISK+FREAK
337,MAP,682.88,BRISK+FREAK
338,MAP,703.62,BRISK+FREAK
339,MAP,666.26,BRISK+FREAK
340,MAP,643.11,BRISK+FREAK
341,MAP,759.63,BRISK+FREAK
342,MAP,691.27,BRISK+FREAK
343,MAP,688.81,BRISK+FREAK
344,MAP,550.94,BRISK+FREAK
345,MAP,617.71,BRISK+FREAK
346,MAP,625.61,BRISK+FREAK
347,MAP,677.41,BRISK+FREAK
348,MAP,784.02,BRISK+FREAK
349,MAP,705.21,BRISK+FREAK
350,MAP,665.66,BRISK+FREAK
351,MAP,811.91,BRISK+FREAK
352,MAP,872.11,BRISK+FREAK
353,MAP,958.95,BRISK+FREAK
354,MAP,976.73,BRISK+FREAK
355,MAP,1158.25,BRISK+FREAK
356,MAP,1119.93,BRISK+FREAK
357,MAP,1114.24,BRISK+FREAK
358,MAP,1065.99,BRISK+FREAK
359,MAP,1047.85,BRISK+FREAK
360,MAP,1014.93,BRISK+FREAK
361,MAP,1036.11,BRISK+FREAK
362,MAP,927.53,BRISK+FREAK
363,MAP,906.09,BRISK+FREAK
364,MAP,787.18,BRISK+FREAK
365,MAP,850.98,BRISK+FREAK
366,MAP,781.76,BRISK+FREAK
367,MAP,729.54,BRISK+FREAK
368,MAP,686.0,BRISK+FREAK
369,MAP,642.28,BRISK+FREAK
370,MAP,640.89,BRISK+FREAK
371,MAP,560.02,BRISK+FREAK
372,MAP,527.41,BRISK+FREAK
373,MAP,492.51,BRISK+FREAK
374,MAP,487.31,BRISK+FREAK
375,MAP,467.57,BRISK+FREAK
376,MAP,473.41,BRISK+FREAK
377,MAP,485.1,BRISK+FREAK
378,MAP,414.55,BRISK+FREAK
379,MAP,435.17,BRISK+FREAK
380,MAP,454.63,BRISK+FREAK
381,MAP,502.42,BRISK+FREAK
382,MAP,427.98,BRISK+FREAK
383,MAP,429.44,BRISK+FREAK
384,MAP,439.85,BRISK+FREAK
385,MAP,444.47,BRISK+FREAK
386,MAP,461.84,BRISK+FREAK
387,MAP,481.75,BRISK+FREAK
388,MAP,536.12,BRISK+FREAK
389,MAP,599.12,BRISK+FREAK
390,MAP,626.98,BRISK+FREAK
391,MAP,683.73,BRISK+FREAK
392,MAP,702.21,BRISK+FREAK
393,MAP,685.24,BRISK+FREAK
394,MAP,747.17,BRISK+FREAK
395,MAP,797.64,BRISK+FREAK
396,MAP,876.95,BRISK+FREAK
397,MAP,973.71,BRISK+FREAK
398,MAP,1018.07,BRISK+FREAK
399,MAP,1193.71,BRISK+FREAK
400,MAP,10.0,GFTT+SIFT
401,MAP,10.0,GFTT+SIFT
402,MAP,10.0,GFTT+SIFT
403,MAP,10.0,GFTT+SIFT
404,MAP,10.0,GFTT+SIFT
405,MAP,10.0,GFTT+SIFT
406,MAP,10.0,GFTT+SIFT
407,MAP,10.0,GFTT+SIFT
408,MAP,10.0,GFTT+SIFT
409,MAP,10.0,GFTT+SIFT
410,MAP,10.0,GFTT+SIFT
411,MAP,10.0,GFTT+SIFT
412,MAP,10.0,GFTT+SIFT
413,MAP,10.0,GFTT+SIFT
414,MAP,10.0,GFTT+SIFT
415,MAP,10.0,GFTT+SIFT
416,MAP,10.0,GFTT+SIFT
417,MAP,10.0,GFTT+SIFT
418,MAP,10.0,GFTT+SIFT
419,MAP,10.0,GFTT+SIFT
420,MAP,10.0,GFTT+SIFT
421,MAP,10.0,GFTT+SIFT
422,MAP,10.0,GFTT+SIFT
423,MAP,10.0,GFTT+SIFT
424,MAP,10.0,GFTT+SIFT
425,MAP,10.0,GFTT+SIFT
426,MAP,10.0,GFTT+SIFT
427,MAP,10.0,GFTT+SIFT
428,MAP,10.0,GFTT+SIFT
429,MAP,10.0,GFTT+SIFT
430,MAP,10.0,GFTT+SIFT
431,MAP,10.0,GFTT+SIFT
432,MAP,10.0,GFTT+SIFT
433,MAP,10.0,GFTT+SIFT
434,MAP,10.0,GFTT+SIFT
435,MAP,10.0,GFTT+SIFT
436,MAP,10.0,GFTT+SIFT
437,MAP,10.0,GFTT+SIFT
438,MAP,10.0,GFTT+SIFT
439,MAP,10.0,GFTT+SIFT
440,MAP,10.0,GFTT+SIFT
441,MAP,10.0,GFTT+SIFT
442,MAP,10.0,GFTT+SIFT
443,MAP,10.0,GFTT+SIFT
444,MAP,10.0,GFTT+SIFT
445,MAP,10.0,GFTT+SIFT
446,MAP,10.0,GFTT+SIFT
447,MAP,10.0,GFTT+SIFT
448,MAP,10.0,GFTT+SIFT
449,MAP,10.0,GFTT+SIFT
450,MAP,10.0,GFTT+SIFT
451,MAP,10.0,GFTT+SIFT
452,MAP,10.0,GFTT+SIFT
453,MAP,10.0,GFTT+SIFT
454,MAP,10.0,GFTT+SIFT
455,MAP,10.0,GFTT+SIFT
456,MAP,10.0,GFTT+SIFT
457,MAP,10.0,GFTT+SIFT
458,MAP,10.0,GFTT+SIFT
459,MAP,10.0,GFTT+SIFT
460,MAP,10.0,GFTT+SIFT
461,MAP,10.0,GFTT+SIFT
462,MAP,10.0,GFTT+SIFT
463,MAP,10.0,GFTT+SIFT
464,MAP,10.0,GFTT+SIFT
465,MAP,10.0,GFTT+SIFT
466,MAP,10.0,GFTT+SIFT
467,MAP,10.0,GFTT+SIFT
468,MAP,10.0,GFTT+SIFT
469,MAP,10.0,GFTT+SIFT
470,MAP,10.0,GFTT+SIFT
471,MAP,10.0,GFTT+SIFT
472,MAP,10.0,GFTT+SIFT
473,MAP,10.0,GFTT+SIFT
474,MAP,10.0,GFTT+SIFT
475,MAP,10.0,GFTT+SIFT
476,MAP,10.0,GFTT+SIFT
477,MAP,10.0,GFTT+SIFT
478,MAP,10.0,GFTT+SIFT
479,MAP,10.0,GFTT+SIFT
480,MAP,10.0,GFTT+SIFT
481,MAP,10.0,GFTT+SIFT
482,MAP,10.0,GFTT+SIFT
483,MAP,10.0,GFTT+SIFT
484,MAP,10.0,GFTT+SIFT
485,MAP,10.0,GFTT+SIFT
486,MAP,10.0,GFTT+SIFT
487,MAP,10.0,GFTT+SIFT
488,MAP,10.0,GFTT+SIFT
489,MAP,10.0,GFTT+SIFT
490,MAP,10.0,GFTT+SIFT
491,MAP,10.0,GFTT+SIFT
492,MAP,10.0,GFTT+SIFT
493,MAP,10.0,GFTT+SIFT
494,MAP,10.0,GFTT+SIFT
495,MAP,10.0,GFTT+SIFT
496,MAP,10.0,GFTT+SIFT
497,MAP,10.0,GFTT+SIFT
498,MAP,10.0,GFTT+SIFT
499,MAP,10.0,GFTT+SIFT
500,MAP,436.2,KAZE
501,MAP,428.06,KAZE
502,MAP,423.71,KAZE
503,MAP,418.98,KAZE
504,MAP,403.95,KAZE
505,MAP,393.1,KAZE
506,MAP,356.47,KAZE
507,MAP,339.2,KAZE
508,MAP,329.04,KAZE
509,MAP,324.62,KAZE
510,MAP,336.66,KAZE
511,MAP,340.75,KAZE
512,MAP,343.16,KAZE
513,MAP,317.64,KAZE
514,MAP,304.0,KAZE
515,MAP,310.42,KAZE
516,MAP,308.89,KAZE
517,MAP,313.02,KAZE
518,MAP,315.63,KAZE
519,MAP,318.65,KAZE
520,MAP,325.64,KAZE
521,MAP,333.86,KAZE
522,MAP,358.32,KAZE
523,MAP,372.26,KAZE
524,MAP,393.1,KAZE
525,MAP,403.82,KAZE
526,MAP,418.78,KAZE
527,MAP,432.04,KAZE
528,MAP,429.72,KAZE
529,MAP,426.09,KAZE
530,MAP,429.97,KAZE
531,MAP,457.94,KAZE
532,MAP,452.95,KAZE
533,MAP,444.66,KAZE
534,MAP,433.24,KAZE
535,MAP,425.49,KAZE
536,MAP,405.93,KAZE
537,MAP,404.06,KAZE
538,MAP,394.53,KAZE
539,MAP,376.83,KAZE
540,MAP,348.31,KAZE
541,MAP,340.09,KAZE
542,MAP,304.39,KAZE
543,MAP,304.54,KAZE
544,MAP,318.58,KAZE
545,MAP,349.73,KAZE
546,MAP,385.28,KAZE
547,MAP,415.77,KAZE
548,MAP,425.56,KAZE
549,MAP,370.36,KAZE
550,MAP,349.86,KAZE
551,MAP,459.4,KAZE
552,MAP,480.89,KAZE
553,MAP,499.56,KAZE
554,MAP,532.85,KAZE
555,MAP,550.27,KAZE
556,MAP,567.94,KAZE
557,MAP,591.1,KAZE
558,MAP,575.6,KAZE
559,MAP,558.78,KAZE
560,MAP,543.1,KAZE
561,MAP,533.4,KAZE
562,MAP,517.13,KAZE
563,MAP,500.59,KAZE
564,MAP,486.81,KAZE
565,MAP,461.89,KAZE
566,MAP,433.03,KAZE
567,MAP,419.83,KAZE
568,MAP,396.01,KAZE
569,MAP,369.84,KAZE
570,MAP,363.68,KAZE
571,MAP,348.32,KAZE
572,MAP,333.26,KAZE
573,MAP,332.5,KAZE
574,MAP,335.7,KAZE
575,MAP,328.58,KAZE
576,MAP,329.26,KAZE
577,MAP,319.26,KAZE
578,MAP,296.84,KAZE
579,MAP,279.54,KAZE
580,MAP,273.25,KAZE
581,MAP,301.75,KAZE
582,MAP,307.73,KAZE
583,MAP,324.91,KAZE
584,MAP,336.18,KAZE
585,MAP,335.18,KAZE
586,MAP,336.89,KAZE
587,MAP,341.66,KAZE
588,MAP,355.47,KAZE
589,MAP,362.04,KAZE
590,MAP,376.9,KAZE
591,MAP,398.94,KAZE
592,MAP,412.85,KAZE
593,MAP,413.93,KAZE
594,MAP,419.09,KAZE
595,MAP,451.8,KAZE
596,MAP,491.02,KAZE
597,MAP,540.86,KAZE
598,MAP,569.67,KAZE
599,MAP,606.21,KAZE
600,MAP,93.61,MSER+SIFT
601,MAP,94.5,MSER+SIFT
602,MAP,91.82,MSER+SIFT
603,MAP,88.94,MSER+SIFT
604,MAP,85.51,MSER+SIFT
605,MAP,82.58,MSER+SIFT
606,MAP,78.54,MSER+SIFT
607,MAP,76.83,MSER+SIFT
608,MAP,76.41,MSER+SIFT
609,MAP,77.37,MSER+SIFT
610,MAP,79.21,MSER+SIFT
611,MAP,77.11,MSER+SIFT
612,MAP,73.94,MSER+SIFT
613,MAP,70.63,MSER+SIFT
614,MAP,68.59,MSER+SIFT
615,MAP,76.52,MSER+SIFT
616,MAP,75.12,MSER+SIFT
617,MAP,80.51,MSER+SIFT
618,MAP,82.23,MSER+SIFT
619,MAP,84.28,MSER+SIFT
620,MAP,82.23,MSER+SIFT
621,MAP,82.13,MSER+SIFT
622,MAP,83.13,MSER+SIFT
623,MAP,83.55,MSER+SIFT
624,MAP,85.15,MSER+SIFT
625,MAP,86.79,MSER+SIFT
626,MAP,89.97,MSER+SIFT
627,MAP,93.38,MSER+SIFT
628,MAP,93.0,MSER+SIFT
629,MAP,92.54,MSER+SIFT
630,MAP,94.59,MSER+SIFT
631,MAP,88.64,MSER+SIFT
632,MAP,90.66,MSER+SIFT
633,MAP,87.04,MSER+SIFT
634,MAP,85.01,MSER+SIFT
635,MAP,83.68,MSER+SIFT
636,MAP,85.73,MSER+SIFT
637,MAP,87.93,MSER+SIFT
638,MAP,86.55,MSER+SIFT
639,MAP,84.88,MSER+SIFT
640,MAP,84.03,MSER+SIFT
641,MAP,84.54,MSER+SIFT
642,MAP,80.34,MSER+SIFT
643,MAP,81.42,MSER+SIFT
644,MAP,84.1,MSER+SIFT
645,MAP,83.83,MSER+SIFT
646,MAP,81.38,MSER+SIFT
647,MAP,83.68,MSER+SIFT
648,MAP,84.77,MSER+SIFT
649,MAP,77.47,MSER+SIFT
650,MAP,75.75,MSER+SIFT
651,MAP,93.14,MSER+SIFT
652,MAP,90.92,MSER+SIFT
653,MAP,91.86,MSER+SIFT
654,MAP,89.13,MSER+SIFT
655,MAP,89.79,MSER+SIFT
656,MAP,74.29,MSER+SIFT
657,MAP,76.71,MSER+SIFT
658,MAP,79.21,MSER+SIFT
659,MAP,81.08,MSER+SIFT
660,MAP,86.22,MSER+SIFT
661,MAP,90.03,MSER+SIFT
662,MAP,95.51,MSER+SIFT
663,MAP,96.14,MSER+SIFT
664,MAP,97.32,MSER+SIFT
665,MAP,95.36,MSER+SIFT
666,MAP,91.23,MSER+SIFT
667,MAP,89.24,MSER+SIFT
668,MAP,87.69,MSER+SIFT
669,MAP,86.21,MSER+SIFT
670,MAP,86.27,MSER+SIFT
671,MAP,83.19,MSER+SIFT
672,MAP,81.04,MSER+SIFT
673,MAP,80.77,MSER+SIFT
674,MAP,74.57,MSER+SIFT
675,MAP,72.14,MSER+SIFT
676,MAP,71.94,MSER+SIFT
677,MAP,73.05,MSER+SIFT
678,MAP,72.57,MSER+SIFT
679,MAP,74.35,MSER+SIFT
680,MAP,74.29,MSER+SIFT
681,MAP,78.05,MSER+SIFT
682,MAP,78.71,MSER+SIFT
683,MAP,76.47,MSER+SIFT
684,MAP,74.74,MSER+SIFT
685,MAP,73.17,MSER+SIFT
686,MAP,69.24,MSER+SIFT
687,MAP,70.36,MSER+SIFT
688,MAP,74.02,MSER+SIFT
689,MAP,77.07,MSER+SIFT
690,MAP,80.06,MSER+SIFT
691,MAP,85.29,MSER+SIFT
692,MAP,86.03,MSER+SIFT
693,MAP,90.76,MSER+SIFT
694,MAP,86.5,MSER+SIFT
695,MAP,85.13,MSER+SIFT
696,MAP,89.37,MSER+SIFT
697,MAP,90.94,MSER+SIFT
698,MAP,90.22,MSER+SIFT
699,MAP,93.22,MSER+SIFT
700,MAP,200.0,ORB
701,MAP,200.0,ORB
702,MAP,200.0,ORB
703,MAP,200.0,ORB
704,MAP,200.0,ORB
705,MAP,200.0,ORB
706,MAP,200.0,ORB
707,MAP,200.0,ORB
708,MAP,200.0,ORB
709,MAP,200.0,ORB
710,MAP,200.0,ORB
711,MAP,200.0,ORB
712,MAP,200.0,ORB
713,MAP,200.0,ORB
714,MAP,200.0,ORB
715,MAP,200.0,ORB
716,MAP,200.0,ORB
717,MAP,200.0,ORB
718,MAP,200.0,ORB
719,MAP,200.0,ORB
720,MAP,200.0,ORB
721,MAP,200.0,ORB
722,MAP,200.0,ORB
723,MAP,200.0,ORB
724,MAP,200.0,ORB
725,MAP,200.0,ORB
726,MAP,200.0,ORB
727,MAP,200.0,ORB
728,MAP,200.0,ORB
729,MAP,200.0,ORB
730,MAP,200.0,ORB
731,MAP,200.0,ORB
732,MAP,200.0,ORB
733,MAP,200.0,ORB
734,MAP,200.0,ORB
735,MAP,200.0,ORB
736,MAP,200.0,ORB
737,MAP,200.0,ORB
738,MAP,200.0,ORB
739,MAP,200.0,ORB
740,MAP,200.0,ORB
741,MAP,200.0,ORB
742,MAP,200.0,ORB
743,MAP,200.0,ORB
744,MAP,200.0,ORB
745,MAP,200.0,ORB
746,MAP,200.0,ORB
747,MAP,200.0,ORB
748,MAP,200.0,ORB
749,MAP,200.0,ORB
750,MAP,200.0,ORB
751,MAP,200.0,ORB
752,MAP,200.0,ORB
753,MAP,200.0,ORB
754,MAP,200.0,ORB
755,MAP,200.0,ORB
756,MAP,200.0,ORB
757,MAP,200.0,ORB
758,MAP,200.0,ORB
759,MAP,200.0,ORB
760,MAP,200.0,ORB
761,MAP,200.0,ORB
762,MAP,200.0,ORB
763,MAP,200.0,ORB
764,MAP,200.0,ORB
765,MAP,200.0,ORB
766,MAP,200.0,ORB
767,MAP,200.0,ORB
768,MAP,200.0,ORB
769,MAP,200.0,ORB
770,MAP,200.0,ORB
771,MAP,200.0,ORB
772,MAP,200.0,ORB
773,MAP,200.0,ORB
774,MAP,200.0,ORB
775,MAP,200.0,ORB
776,MAP,200.0,ORB
777,MAP,200.0,ORB
778,MAP,200.0,ORB
779,MAP,200.0,ORB
780,MAP,200.0,ORB
781,MAP,200.0,ORB
782,MAP,200.0,ORB
783,MAP,200.0,ORB
784,MAP,200.0,ORB
785,MAP,200.0,ORB
786,MAP,200.0,ORB
787,MAP,200.0,ORB
788,MAP,200.0,ORB
789,MAP,200.0,ORB
790,MAP,200.0,ORB
791,MAP,200.0,ORB
792,MAP,200.0,ORB
793,MAP,200.0,ORB
794,MAP,200.0,ORB
795,MAP,200.0,ORB
796,MAP,200.0,ORB
797,MAP,200.0,ORB
798,MAP,200.0,ORB
799,MAP,200.0,ORB
800,MAP,,STAR+BRIEF
