,Dataset,Number of Keypoints,Detector/Descriptor
0,Quarry0.50,1035.61,BRISK
1,Quarry0.50,1184.35,BRISK
2,Quarry0.50,1056.22,BRISK
3,Quarry0.50,1029.37,BRISK
4,Quarry0.50,1322.53,BRISK
5,Quarry0.50,927.2,BRISK
6,Quarry0.50,609.83,BRISK
7,Quarry0.50,580.51,BRISK
8,Quarry0.50,666.16,BRISK
9,Quarry0.50,648.66,BRISK
10,Quarry0.50,546.18,BRISK
11,Quarry0.50,542.12,BRISK
12,Quarry0.50,567.01,BRISK
13,Quarry0.50,893.56,BRISK
14,Quarry0.50,1526.41,BRISK
15,Quarry0.50,1146.53,BRISK
16,Quarry0.50,1505.72,BRISK
17,Quarry0.50,1197.86,BRISK
18,Quarry0.50,1208.51,BRISK
19,Quarry0.50,840.85,BRISK
20,Quarry0.50,833.95,BRISK
21,Quarry0.50,789.98,BRISK
22,Quarry0.50,956.05,BRISK
23,Quarry0.50,931.58,BRISK
24,Quarry0.50,857.95,BRISK
25,Quarry0.50,1121.11,BRISK
26,Quarry0.50,1460.83,BRISK
27,Quarry0.50,1601.88,BRISK
28,Quarry0.50,1188.97,BRISK
29,Quarry0.50,1213.65,BRISK
30,Quarry0.50,1629.14,BRISK
31,Quarry0.50,1553.05,BRISK
32,Quarry0.50,1450.96,BRISK
33,Quarry0.50,1247.12,BRISK
34,Quarry0.50,979.75,BRISK
35,Quarry0.50,828.35,BRISK
36,Quarry0.50,707.83,BRISK
37,Quarry0.50,733.08,BRISK
38,Quarry0.50,899.75,BRISK
39,Quarry0.50,1106.79,BRISK
40,Quarry0.50,1255.25,BRISK
41,Quarry0.50,882.32,BRISK
42,Quarry0.50,1378.77,BRISK
43,Quarry0.50,1356.7,BRISK
44,Quarry0.50,1204.09,BRISK
45,Quarry0.50,1296.68,BRISK
46,Quarry0.50,1069.05,BRISK
47,Quarry0.50,1241.07,BRISK
48,Quarry0.50,1358.33,BRISK
49,Quarry0.50,1114.11,BRISK
50,Quarry0.50,1657.96,BRISK
51,Quarry0.50,780.5,BRISK
52,Quarry0.50,541.64,BRISK
53,Quarry0.50,489.32,BRISK
54,Quarry0.50,518.25,BRISK
55,Quarry0.50,566.71,BRISK
56,Quarry0.50,650.62,BRISK
57,Quarry0.50,823.83,BRISK
58,Quarry0.50,956.14,BRISK
59,Quarry0.50,977.21,BRISK
60,Quarry0.50,1232.34,BRISK
61,Quarry0.50,946.04,BRISK
62,Quarry0.50,1079.84,BRISK
63,Quarry0.50,921.67,BRISK
64,Quarry0.50,627.9,BRISK
65,Quarry0.50,557.88,BRISK
66,Quarry0.50,482.35,BRISK
67,Quarry0.50,464.44,BRISK
68,Quarry0.50,419.36,BRISK
69,Quarry0.50,438.04,BRISK
70,Quarry0.50,644.8,BRISK
71,Quarry0.50,949.88,BRISK
72,Quarry0.50,1071.48,BRISK
73,Quarry0.50,856.3,BRISK
74,Quarry0.50,840.46,BRISK
75,Quarry0.50,1260.81,BRISK
76,Quarry0.50,1783.71,BRISK
77,Quarry0.50,1409.35,BRISK
78,Quarry0.50,1777.78,BRISK
79,Quarry0.50,1367.44,BRISK
80,Quarry0.50,1342.29,BRISK
81,Quarry0.50,1262.01,BRISK
82,Quarry0.50,1018.83,BRISK
83,Quarry0.50,801.2,BRISK
84,Quarry0.50,571.56,BRISK
85,Quarry0.50,630.01,BRISK
86,Quarry0.50,740.29,BRISK
87,Quarry0.50,524.21,BRISK
88,Quarry0.50,567.76,BRISK
89,Quarry0.50,503.7,BRISK
90,Quarry0.50,531.21,BRISK
91,Quarry0.50,822.85,BRISK
92,Quarry0.50,1105.61,BRISK
93,Quarry0.50,1147.6,BRISK
94,Quarry0.50,1752.0,BRISK
95,Quarry0.50,1745.1,BRISK
96,Quarry0.50,1527.81,BRISK
97,Quarry0.50,1639.35,BRISK
98,Quarry0.50,1368.13,BRISK
99,Quarry0.50,924.54,BRISK
100,Quarry0.50,977.05,BRISK+FREAK
101,Quarry0.50,1105.86,BRISK+FREAK
102,Quarry0.50,994.1,BRISK+FREAK
103,Quarry0.50,962.54,BRISK+FREAK
104,Quarry0.50,1265.0,BRISK+FREAK
105,Quarry0.50,878.65,BRISK+FREAK
106,Quarry0.50,569.56,BRISK+FREAK
107,Quarry0.50,542.39,BRISK+FREAK
108,Quarry0.50,635.89,BRISK+FREAK
109,Quarry0.50,613.19,BRISK+FREAK
110,Quarry0.50,522.52,BRISK+FREAK
111,Quarry0.50,520.8,BRISK+FREAK
112,Quarry0.50,530.77,BRISK+FREAK
113,Quarry0.50,841.75,BRISK+FREAK
114,Quarry0.50,1459.58,BRISK+FREAK
115,Quarry0.50,1086.62,BRISK+FREAK
116,Quarry0.50,1434.95,BRISK+FREAK
117,Quarry0.50,1137.06,BRISK+FREAK
118,Quarry0.50,1135.46,BRISK+FREAK
119,Quarry0.50,780.87,BRISK+FREAK
120,Quarry0.50,789.07,BRISK+FREAK
121,Quarry0.50,742.66,BRISK+FREAK
122,Quarry0.50,911.35,BRISK+FREAK
123,Quarry0.50,882.43,BRISK+FREAK
124,Quarry0.50,804.77,BRISK+FREAK
125,Quarry0.50,1057.08,BRISK+FREAK
126,Quarry0.50,1386.11,BRISK+FREAK
127,Quarry0.50,1530.5,BRISK+FREAK
128,Quarry0.50,1127.92,BRISK+FREAK
129,Quarry0.50,1147.18,BRISK+FREAK
130,Quarry0.50,1553.64,BRISK+FREAK
131,Quarry0.50,1482.07,BRISK+FREAK
132,Quarry0.50,1384.34,BRISK+FREAK
133,Quarry0.50,1192.54,BRISK+FREAK
134,Quarry0.50,921.2,BRISK+FREAK
135,Quarry0.50,783.87,BRISK+FREAK
136,Quarry0.50,673.98,BRISK+FREAK
137,Quarry0.50,695.78,BRISK+FREAK
138,Quarry0.50,850.79,BRISK+FREAK
139,Quarry0.50,1054.82,BRISK+FREAK
140,Quarry0.50,1195.42,BRISK+FREAK
141,Quarry0.50,841.72,BRISK+FREAK
142,Quarry0.50,1308.4,BRISK+FREAK
143,Quarry0.50,1280.37,BRISK+FREAK
144,Quarry0.50,1144.58,BRISK+FREAK
145,Quarry0.50,1232.9,BRISK+FREAK
146,Quarry0.50,1012.08,BRISK+FREAK
147,Quarry0.50,1179.85,BRISK+FREAK
148,Quarry0.50,1291.72,BRISK+FREAK
149,Quarry0.50,1057.79,BRISK+FREAK
150,Quarry0.50,1570.12,BRISK+FREAK
151,Quarry0.50,736.45,BRISK+FREAK
152,Quarry0.50,509.59,BRISK+FREAK
153,Quarry0.50,459.75,BRISK+FREAK
154,Quarry0.50,491.78,BRISK+FREAK
155,Quarry0.50,541.52,BRISK+FREAK
156,Quarry0.50,618.79,BRISK+FREAK
157,Quarry0.50,797.55,BRISK+FREAK
158,Quarry0.50,914.19,BRISK+FREAK
159,Quarry0.50,935.62,BRISK+FREAK
160,Quarry0.50,1171.15,BRISK+FREAK
161,Quarry0.50,892.9,BRISK+FREAK
162,Quarry0.50,1023.68,BRISK+FREAK
163,Quarry0.50,886.98,BRISK+FREAK
164,Quarry0.50,602.34,BRISK+FREAK
165,Quarry0.50,532.66,BRISK+FREAK
166,Quarry0.50,462.61,BRISK+FREAK
167,Quarry0.50,448.28,BRISK+FREAK
168,Quarry0.50,392.48,BRISK+FREAK
169,Quarry0.50,412.08,BRISK+FREAK
170,Quarry0.50,608.27,BRISK+FREAK
171,Quarry0.50,895.22,BRISK+FREAK
172,Quarry0.50,1013.5,BRISK+FREAK
173,Quarry0.50,812.43,BRISK+FREAK
174,Quarry0.50,800.24,BRISK+FREAK
175,Quarry0.50,1205.69,BRISK+FREAK
176,Quarry0.50,1717.27,BRISK+FREAK
177,Quarry0.50,1345.78,BRISK+FREAK
178,Quarry0.50,1697.27,BRISK+FREAK
179,Quarry0.50,1301.08,BRISK+FREAK
180,Quarry0.50,1280.68,BRISK+FREAK
181,Quarry0.50,1193.7,BRISK+FREAK
182,Quarry0.50,959.93,BRISK+FREAK
183,Quarry0.50,751.92,BRISK+FREAK
184,Quarry0.50,538.68,BRISK+FREAK
185,Quarry0.50,596.12,BRISK+FREAK
186,Quarry0.50,698.91,BRISK+FREAK
187,Quarry0.50,489.08,BRISK+FREAK
188,Quarry0.50,535.1,BRISK+FREAK
189,Quarry0.50,474.43,BRISK+FREAK
190,Quarry0.50,502.86,BRISK+FREAK
191,Quarry0.50,767.94,BRISK+FREAK
192,Quarry0.50,1050.11,BRISK+FREAK
193,Quarry0.50,1091.79,BRISK+FREAK
194,Quarry0.50,1673.6,BRISK+FREAK
195,Quarry0.50,1658.47,BRISK+FREAK
196,Quarry0.50,1442.85,BRISK+FREAK
197,Quarry0.50,1565.18,BRISK+FREAK
198,Quarry0.50,1303.99,BRISK+FREAK
199,Quarry0.50,867.49,BRISK+FREAK
200,Quarry0.50,10.0,GFTT+SIFT
201,Quarry0.50,10.0,GFTT+SIFT
202,Quarry0.50,10.0,GFTT+SIFT
203,Quarry0.50,10.0,GFTT+SIFT
204,Quarry0.50,10.0,GFTT+SIFT
205,Quarry0.50,10.0,GFTT+SIFT
206,Quarry0.50,10.0,GFTT+SIFT
207,Quarry0.50,10.0,GFTT+SIFT
208,Quarry0.50,10.0,GFTT+SIFT
209,Quarry0.50,10.0,GFTT+SIFT
210,Quarry0.50,10.0,GFTT+SIFT
211,Quarry0.50,10.0,GFTT+SIFT
212,Quarry0.50,10.0,GFTT+SIFT
213,Quarry0.50,10.0,GFTT+SIFT
214,Quarry0.50,10.0,GFTT+SIFT
215,Quarry0.50,10.0,GFTT+SIFT
216,Quarry0.50,10.0,GFTT+SIFT
217,Quarry0.50,10.0,GFTT+SIFT
218,Quarry0.50,10.0,GFTT+SIFT
219,Quarry0.50,10.0,GFTT+SIFT
220,Quarry0.50,10.0,GFTT+SIFT
221,Quarry0.50,10.0,GFTT+SIFT
222,Quarry0.50,10.0,GFTT+SIFT
223,Quarry0.50,10.0,GFTT+SIFT
224,Quarry0.50,10.0,GFTT+SIFT
225,Quarry0.50,10.0,GFTT+SIFT
226,Quarry0.50,10.0,GFTT+SIFT
227,Quarry0.50,10.0,GFTT+SIFT
228,Quarry0.50,10.0,GFTT+SIFT
229,Quarry0.50,10.0,GFTT+SIFT
230,Quarry0.50,10.0,GFTT+SIFT
231,Quarry0.50,10.0,GFTT+SIFT
232,Quarry0.50,10.0,GFTT+SIFT
233,Quarry0.50,10.0,GFTT+SIFT
234,Quarry0.50,10.0,GFTT+SIFT
235,Quarry0.50,10.0,GFTT+SIFT
236,Quarry0.50,10.0,GFTT+SIFT
237,Quarry0.50,10.0,GFTT+SIFT
238,Quarry0.50,10.0,GFTT+SIFT
239,Quarry0.50,10.0,GFTT+SIFT
240,Quarry0.50,10.0,GFTT+SIFT
241,Quarry0.50,10.0,GFTT+SIFT
242,Quarry0.50,10.0,GFTT+SIFT
243,Quarry0.50,10.0,GFTT+SIFT
244,Quarry0.50,10.0,GFTT+SIFT
245,Quarry0.50,10.0,GFTT+SIFT
246,Quarry0.50,10.0,GFTT+SIFT
247,Quarry0.50,10.0,GFTT+SIFT
248,Quarry0.50,10.0,GFTT+SIFT
249,Quarry0.50,10.0,GFTT+SIFT
250,Quarry0.50,10.0,GFTT+SIFT
251,Quarry0.50,10.0,GFTT+SIFT
252,Quarry0.50,10.0,GFTT+SIFT
253,Quarry0.50,10.0,GFTT+SIFT
254,Quarry0.50,10.0,GFTT+SIFT
255,Quarry0.50,10.0,GFTT+SIFT
256,Quarry0.50,10.0,GFTT+SIFT
257,Quarry0.50,10.0,GFTT+SIFT
258,Quarry0.50,10.0,GFTT+SIFT
259,Quarry0.50,10.0,GFTT+SIFT
260,Quarry0.50,10.0,GFTT+SIFT
261,Quarry0.50,10.0,GFTT+SIFT
262,Quarry0.50,10.0,GFTT+SIFT
263,Quarry0.50,10.0,GFTT+SIFT
264,Quarry0.50,10.0,GFTT+SIFT
265,Quarry0.50,10.0,GFTT+SIFT
266,Quarry0.50,10.0,GFTT+SIFT
267,Quarry0.50,10.0,GFTT+SIFT
268,Quarry0.50,10.0,GFTT+SIFT
269,Quarry0.50,10.0,GFTT+SIFT
270,Quarry0.50,10.0,GFTT+SIFT
271,Quarry0.50,10.0,GFTT+SIFT
272,Quarry0.50,10.0,GFTT+SIFT
273,Quarry0.50,10.0,GFTT+SIFT
274,Quarry0.50,10.0,GFTT+SIFT
275,Quarry0.50,10.0,GFTT+SIFT
276,Quarry0.50,10.0,GFTT+SIFT
277,Quarry0.50,10.0,GFTT+SIFT
278,Quarry0.50,10.0,GFTT+SIFT
279,Quarry0.50,10.0,GFTT+SIFT
280,Quarry0.50,10.0,GFTT+SIFT
281,Quarry0.50,10.0,GFTT+SIFT
282,Quarry0.50,10.0,GFTT+SIFT
283,Quarry0.50,10.0,GFTT+SIFT
284,Quarry0.50,10.0,GFTT+SIFT
285,Quarry0.50,10.0,GFTT+SIFT
286,Quarry0.50,10.0,GFTT+SIFT
287,Quarry0.50,10.0,GFTT+SIFT
288,Quarry0.50,10.0,GFTT+SIFT
289,Quarry0.50,10.0,GFTT+SIFT
290,Quarry0.50,10.0,GFTT+SIFT
291,Quarry0.50,10.0,GFTT+SIFT
292,Quarry0.50,10.0,GFTT+SIFT
293,Quarry0.50,10.0,GFTT+SIFT
294,Quarry0.50,10.0,GFTT+SIFT
295,Quarry0.50,10.0,GFTT+SIFT
296,Quarry0.50,10.0,GFTT+SIFT
297,Quarry0.50,10.0,GFTT+SIFT
298,Quarry0.50,10.0,GFTT+SIFT
299,Quarry0.50,10.0,GFTT+SIFT
300,Quarry0.50,96.67,MSER+SIFT
301,Quarry0.50,99.5,MSER+SIFT
302,Quarry0.50,96.93,MSER+SIFT
303,Quarry0.50,117.94,MSER+SIFT
304,Quarry0.50,104.88,MSER+SIFT
