,Dataset,Time,Detector/Descriptor
0,Quarry0.75,260.356171917,BRISK
1,Quarry0.75,265.80353258699995,BRISK+FREAK
2,Quarry0.75,117.64709696099999,ORB
3,Quarry0.75,43.51602016499987,STAR+BRIEF
