,Dataset,Number of Keypoints,Detector/Descriptor
0,Quarry0.75,1770.4333333333334,BRISK
1,Quarry0.75,1777.85,BRISK
2,Quarry0.75,2121.2166666666667,BRISK
3,Quarry0.75,2047.0,BRISK
4,Quarry0.75,1793.3,BRISK
5,Quarry0.75,2436.15,BRISK
6,Quarry0.75,3289.35,BRISK
7,Quarry0.75,3683.983333333333,BRISK
8,Quarry0.75,2628.116666666667,BRISK
9,Quarry0.75,2393.0833333333335,BRISK
10,Quarry0.75,3626.4333333333334,BRISK
11,Quarry0.75,3504.3333333333335,BRISK
12,Quarry0.75,3308.4333333333334,BRISK
13,Quarry0.75,2790.2,BRISK
14,Quarry0.75,2136.7,BRISK
15,Quarry0.75,1813.6666666666667,BRISK
16,Quarry0.75,1451.5,BRISK
17,Quarry0.75,1554.7333333333333,BRISK
18,Quarry0.75,1929.45,BRISK
19,Quarry0.75,2383.2166666666667,BRISK
20,Quarry0.75,2704.383333333333,BRISK
21,Quarry0.75,1698.8666666666666,BRISK
22,Quarry0.75,3009.0833333333335,BRISK
23,Quarry0.75,2924.35,BRISK
24,Quarry0.75,2562.0666666666666,BRISK
25,Quarry0.75,2912.366666666667,BRISK
26,Quarry0.75,2301.0666666666666,BRISK
27,Quarry0.75,2722.6,BRISK
28,Quarry0.75,3038.85,BRISK
29,Quarry0.75,2081.95,BRISK
30,Quarry0.75,3626.9,BRISK
31,Quarry0.75,1837.6666666666667,BRISK
32,Quarry0.75,2779.016666666667,BRISK
33,Quarry0.75,2633.0,BRISK
34,Quarry0.75,3343.866666666667,BRISK
35,Quarry0.75,2559.3166666666666,BRISK
36,Quarry0.75,3546.7833333333333,BRISK
37,Quarry0.75,1946.0833333333333,BRISK
38,Quarry0.75,1204.35,BRISK
39,Quarry0.75,1297.15,BRISK
40,Quarry0.75,1227.0833333333333,BRISK
41,Quarry0.75,1494.75,BRISK
42,Quarry0.75,1525.8333333333333,BRISK
43,Quarry0.75,1287.7166666666667,BRISK
44,Quarry0.75,1380.0333333333333,BRISK
45,Quarry0.75,2118.6,BRISK
46,Quarry0.75,3187.1833333333334,BRISK
47,Quarry0.75,2020.55,BRISK
48,Quarry0.75,2359.6833333333334,BRISK
49,Quarry0.75,2749.15,BRISK
50,Quarry0.75,2368.4333333333334,BRISK
51,Quarry0.75,1748.2833333333333,BRISK
52,Quarry0.75,1236.7333333333333,BRISK
53,Quarry0.75,1110.45,BRISK
54,Quarry0.75,1160.3,BRISK
55,Quarry0.75,1280.8833333333334,BRISK
56,Quarry0.75,1473.6833333333334,BRISK
57,Quarry0.75,1914.05,BRISK
58,Quarry0.75,2200.483333333333,BRISK
59,Quarry0.75,2100.8166666666666,BRISK
60,Quarry0.75,1694.1,BRISK+FREAK
61,Quarry0.75,1697.3333333333333,BRISK+FREAK
62,Quarry0.75,2047.1333333333334,BRISK+FREAK
63,Quarry0.75,1961.2833333333333,BRISK+FREAK
64,Quarry0.75,1702.1,BRISK+FREAK
65,Quarry0.75,2327.883333333333,BRISK+FREAK
66,Quarry0.75,3157.866666666667,BRISK+FREAK
67,Quarry0.75,3556.6,BRISK+FREAK
68,Quarry0.75,2522.983333333333,BRISK+FREAK
69,Quarry0.75,2285.35,BRISK+FREAK
70,Quarry0.75,3495.95,BRISK+FREAK
71,Quarry0.75,3379.1,BRISK+FREAK
72,Quarry0.75,3189.5833333333335,BRISK+FREAK
73,Quarry0.75,2696.883333333333,BRISK+FREAK
74,Quarry0.75,2037.5333333333333,BRISK+FREAK
75,Quarry0.75,1737.7,BRISK+FREAK
76,Quarry0.75,1396.7333333333333,BRISK+FREAK
77,Quarry0.75,1490.2166666666667,BRISK+FREAK
78,Quarry0.75,1845.4166666666667,BRISK+FREAK
79,Quarry0.75,2294.4333333333334,BRISK+FREAK
80,Quarry0.75,2604.25,BRISK+FREAK
81,Quarry0.75,1635.0333333333333,BRISK+FREAK
82,Quarry0.75,2886.516666666667,BRISK+FREAK
83,Quarry0.75,2793.3,BRISK+FREAK
84,Quarry0.75,2459.5333333333333,BRISK+FREAK
85,Quarry0.75,2803.4333333333334,BRISK+FREAK
86,Quarry0.75,2204.9333333333334,BRISK+FREAK
87,Quarry0.75,2617.9,BRISK+FREAK
88,Quarry0.75,2927.6833333333334,BRISK+FREAK
89,Quarry0.75,1995.2,BRISK+FREAK
90,Quarry0.75,3472.516666666667,BRISK+FREAK
91,Quarry0.75,1727.8666666666666,BRISK+FREAK
92,Quarry0.75,2643.116666666667,BRISK+FREAK
93,Quarry0.75,2523.9166666666665,BRISK+FREAK
94,Quarry0.75,3224.0333333333333,BRISK+FREAK
95,Quarry0.75,2452.516666666667,BRISK+FREAK
96,Quarry0.75,3424.8,BRISK+FREAK
97,Quarry0.75,1855.6166666666666,BRISK+FREAK
98,Quarry0.75,1142.3,BRISK+FREAK
99,Quarry0.75,1261.35,BRISK+FREAK
100,Quarry0.75,1187.9166666666667,BRISK+FREAK
101,Quarry0.75,1433.3833333333334,BRISK+FREAK
102,Quarry0.75,1471.6166666666666,BRISK+FREAK
103,Quarry0.75,1222.2333333333333,BRISK+FREAK
104,Quarry0.75,1309.5333333333333,BRISK+FREAK
105,Quarry0.75,2029.9833333333333,BRISK+FREAK
106,Quarry0.75,3082.483333333333,BRISK+FREAK
107,Quarry0.75,1907.75,BRISK+FREAK
108,Quarry0.75,2246.4666666666667,BRISK+FREAK
109,Quarry0.75,2605.3333333333335,BRISK+FREAK
110,Quarry0.75,2262.2833333333333,BRISK+FREAK
111,Quarry0.75,1669.8333333333333,BRISK+FREAK
112,Quarry0.75,1179.6666666666667,BRISK+FREAK
113,Quarry0.75,1059.45,BRISK+FREAK
114,Quarry0.75,1114.2833333333333,BRISK+FREAK
115,Quarry0.75,1239.2166666666667,BRISK+FREAK
116,Quarry0.75,1416.85,BRISK+FREAK
117,Quarry0.75,1871.1166666666666,BRISK+FREAK
118,Quarry0.75,2129.9166666666665,BRISK+FREAK
119,Quarry0.75,2031.9833333333333,BRISK+FREAK
120,Quarry0.75,333.3333333333333,ORB
121,Quarry0.75,333.3333333333333,ORB
122,Quarry0.75,333.3333333333333,ORB
123,Quarry0.75,333.3333333333333,ORB
124,Quarry0.75,333.3333333333333,ORB
125,Quarry0.75,333.3333333333333,ORB
126,Quarry0.75,333.3333333333333,ORB
127,Quarry0.75,333.3333333333333,ORB
128,Quarry0.75,333.3333333333333,ORB
129,Quarry0.75,333.3333333333333,ORB
130,Quarry0.75,333.3333333333333,ORB
131,Quarry0.75,333.3333333333333,ORB
132,Quarry0.75,333.3333333333333,ORB
133,Quarry0.75,333.3333333333333,ORB
134,Quarry0.75,333.3333333333333,ORB
135,Quarry0.75,333.3333333333333,ORB
136,Quarry0.75,333.3333333333333,ORB
137,Quarry0.75,333.3333333333333,ORB
138,Quarry0.75,333.3333333333333,ORB
139,Quarry0.75,333.3333333333333,ORB
140,Quarry0.75,333.3333333333333,ORB
